;level_0;index;path;id;tobias_answer_q1;tobias_answer_q2;samir_answer_q1;samir_answer_q2;jack_answer_q1;jack_answer_q2;tobias_tekstsvar;samir_tekstsvar;jack_tekstsvar
0;0;39;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0876.png;1;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];Dårlig visualisering af lungekarrene men god visualisering af skeletale strukturer særligt columna - synes det plejer at være omvendt for alm rtg;"Stærk ""Kontrast"" af skelettet og ganske svag kontrast af bløddelsstrukturer - tolkes således ikke som en under eller overeksponeret billede. Derfor mistanke om at den er generated. ";Missing proc. spinosi - could be due to rotation of the patient, but strange that its not visible at all mid thorax? also strange right side rib contours - could be from cold rib fractures, but could also be because of a generated image. 
1;1;41;ImagEng-DRR-CROPPED1.png;2;['Generated'];['None'];['Generated'];['None'];['Generated'];['Covid-19 lesions'];"som første case - og lungetegningen ligner at være overlejret/rekonstrueret med et ""blødt"" filter. jeg er lidt usikker på om der kunne være et skyet infiltrat i venstre overlap";"Samme som case 1, Stærk ""Kontrast"" af skelettet og ganske svag kontrast af bløddelsstrukturer - tolkes således ikke som en under eller overeksponeret billede. Derfor mistanke om at den er generated. ";Scapula, ribs, vertebrae.
2;2;2;RAD-ChestCT-CROPPEDtrn08122.nii.gz.png;3;['Generated'];['None'];['Generated'];['None'];['Generated'];['Invalid'];som 1 og 2 - og dorsale dele af costae synes at være tydeligere fremstillede på vanligt rtg thorax;"Stærk ""Kontrast"" af skelettet og ganske svag kontrast af bløddelsstrukturer - tolkes således ikke som en under eller overeksponeret billede. Derfor mistanke om at den er generated. (samme som tidligere cases)";Ribs missing contours, vertebrae lower are weird/missing processes, ring artefact?
3;3;48;ImagEng-DRR-CROPPED22.png;4;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];som tidligere, plus noget af højre scapula er ikke med - rekonstrueret væk?;"Stærk ""Kontrast"" af skelettet og ganske svag kontrast af bløddelsstrukturer - tolkes således ikke som en under eller overeksponeret billede. Derfor mistanke om at den er generated. Samme som tidligere. HØjre scapula er væk - tolker at dette er ""genereret"" væk af et fejl. ";missing scapula right side, vertebrae too clearly visualized, rib shoadows missing (horisontal part)
4;4;50;padchest-normal-CROPPED0-248060958092118945326092297789105837_nr5hxr.png;5;['Real'];['None'];['Real'];['None'];['Real'];['Lung nodules'];No answer;No answer;No answer
5;5;44;ImagEng-DRR-CROPPED9.png;6;['Generated'];['Covid-19 lesions'];['Generated'];['Covid-19 lesions'];['Generated'];['Covid-19 lesions'];No answer;"Stærk ""Kontrast"" af skelettet og ganske svag kontrast af bløddelsstrukturer - tolkes således ikke som en under eller overeksponeret billede. Derfor mistanke om at den er generated. (samme";Same as previous with scapula, spine and ribs
6;6;33;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0438.png;7;['Generated'];['None'];['Generated'];['None'];['Real'];['None'];No answer;samme som tidligere forkalring. ;No answer
7;7;35;LIDC-IDRI-DRR-CROPPEDLIDC-IDRI-0462.png;8;['Generated'];['None'];['Generated'];['None'];['Uncertain'];['None'];bølgende costae - bevægelse?;Samme som tidligere forklaring. Derudover er costae otroligt uregelmæssige i sin kontur. TOlkes også at være genererings fejl. ;Rib contrours seems strange. 
8;8;40;ImagEng-DRR-CROPPED26.png;9;['Generated'];['None'];['Generated'];['None'];['Generated'];['None'];"det ligner et rigtig godt rekonstrueret billede - men som de tidligere billeder ""blødere"" end vores alm rtg af thorax plejer at være ";smukkere en de tidligere genererede, men fortsat stor kontrast forskel i billedet;Same as previous with scapula, spine and ribs
9;9;27;LIDC-IDRI-XRAY-CROPPEDLIDC-IDRI-0037.png;10;['Real'];['Lung nodules'];['Real'];['Covid-19 lesions'];['Real'];['Covid-19 lesions'];"her meget ""skarpere"" tegning særligt af lungerne, som det plejer at se ud på rtg af thorax";No answer;No answer
